clueID,title,content,imagePath,soundPath
clue_2-1_diary,"일기","“아무도 나를 신경 쓰지 않아, 나는 다시 빈 자리에 앉았다. 소리도 모두 사라진 것 같다.”",,
clue_2-1_letter,"편지","“…말할 수 없어, 그들이 나를 비웃을 거야.”",,
clue_2-1_blackboard,"칠판","“그가 또 왔어, 나는 아무에게도 말할 수 없어.”",,
clue_2-1_bin,"쓰레기 물건","“쓰레기통을 뒤져, 찢긴 편지를 발견하고 심장이 뛰기 시작한다.”",,
clue_2-2_note,"노트","“보는 것이 듣는 것이 아니다, 나는 아무 말도 하지 않았다.”",,
clue_2-2_camera,"흐릿한 사진","복도에서 흐릿하게 움직이는 몇 개의 실루엣",,
clue_2-3_note,"파손된 노트","“나는 잘못한 게 없어, 그들은 너무 예민해.”",,
clue_2-3_provocation,"도발 문구","“괜찮아, 아무도 기억하지 않을 거야.”",,
clue_2-3_closet_photo,"벽장 사진","어지럽힌 물건과 흐릿한 실루엣",,
clue_2-3_fragment_paper,"파편 종이","“부서진 종이가 바닥에 흩어져 있다. 맞춰보려 하지만, 영원히 볼 수 없는 것이 있다.”",,
